新闻频道,#genre#
凤凰资讯蓝光,http://al-pull2.hkatv.vip/live/phoenixPIN.m3u8
凤凰中文蓝光,http://al-pull2.hkatv.vip/live/phoenixPCC.m3u8
凤凰香港蓝光,http://al-pull2.hkatv.vip/live/phoenixPHK.m3u8
凤凰资讯HD,http://59.44.10.116:9901/tsfile/live/1021_1.m3u8
凤凰中文HD,http://59.44.10.116:9901/tsfile/live/1022_1.m3u8
凤凰香港HD,http://59.44.10.116:9901/tsfile/live/1023_1.m3u8
凤凰中文HD,http://59.44.10.113:9901/tsfile/live/1079_1.m3u8
凤凰资讯HD,http://59.44.10.113:9901/tsfile/live/1078_1.m3u8
凤凰香港HD,http://59.44.10.113:9901/tsHDfile/live/1080_1.m3u8
凤凰资讯HD,https://al-pull2.hkatv.vip/live/phoenixPIN.m3u8
凤凰中文HD,https://al-pull2.hkatv.vip/live/phoenixPCC.m3u8
凤凰香港HD,https://al-pull2.hkatv.vip/live/phoenixPHK.m3u8
凤凰资讯蓝光,https://al-pull2.hkatv.vip/live/phoenixPIN.m3u8
凤凰资讯蓝光,https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯蓝光,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8
凤凰中文蓝光,https://al-pull2.hkatv.vip/live/phoenixPCC.m3u8
凤凰中文蓝光,https://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文蓝光,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
凤凰香港蓝光,https://al-pull2.hkatv.vip/live/phoenixPIN.m3u8
CNN HD,https://cnn-cnninternational-1-de.samsung.wurl.com/manifest/playlist_1280x720_3000k.m3u8
CNN-新闻,https://cnn-cnninternational-1-gb.samsung.wurl.com/manifest/playlist_1280x720_3000k.m3u8
半岛新闻,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
半岛新闻,http://live-hls-web-aja.getaj.net/AJA/index.m3u8
半岛国际,http://live-hls-web-aje.getaj.net/AJE/01.m3u8  
半岛国际,http://live-hls-web-aje.getaj.net/AJE/02.m3u8
上海新闻综合,http://183.207.255.188/live/program/live/xwzhhd/4000000/mnf.m3u8 
上海新闻综合,http://183.207.255.190/live/program/live/xwzhhd/4000000/mnf.m3u8
上海新闻综合,http://140.207.241.2:8080/live/program/live/xwzhhd/4000000/mnf.m3u8
合肥新闻,http://223.244.92.30:808/2774goN/1000/live.m3u8
合肥生活,http://223.244.92.30:808/xcd72q7/1000/live.m3u8
合肥公共,http://223.244.92.30:808/NlwQhy0/1000/live.m3u8
合肥财经,http://223.244.92.30:808/8Fvh9ro/1000/live.m3u8
合肥教育法制,http://223.244.92.30:808/x91Hoz8/1000/live.m3u8
超级电影台HD,http://39.134.66.66/PLTV/88888888/224/3221225644/index.m3u8
五星体育,http://140.207.241.2:8080/live/program/live/ssty/4000000/mnf.m3u8  
新视觉,http://140.207.241.2:8080/live/program/live/xsjhd/4000000/mnf.m3u8  
央视频道,#genre#
CCTV-1(高清),http://183.196.25.171:808/hls/1/index.m3u8
CCTV-2(高清),http://183.196.25.171:808/hls/2/index.m3u8
CCTV-3,http://183.196.25.171:808/hls/3/index.m3u8
CCTV-4(高清),http://183.196.25.171:808/hls/4/index.m3u8
CCTV-5,http://183.196.25.171:808/hls/5/index.m3u8
CCTV-6,http://183.196.25.171:808/hls/6/index.m3u8
CCTV-7(高清),http://183.196.25.171:808/hls/7/index.m3u8
CCTV-8,http://183.196.25.171:808/hls/8/index.m3u8
CCTV-9(高清),http://183.196.25.171:808/hls/9/index.m3u8
CCTV-10(高清),http://183.196.25.171:808/hls/10/index.m3u8
CCTV-11(高清),http://183.196.25.171:808/hls/11/index.m3u8
CCTV-12(高清),http://183.196.25.171:808/hls/12/index.m3u8
CCTV-13(高清),http://183.196.25.171:808/hls/13/index.m3u8
CCTV-14(高清),http://183.196.25.171:808/hls/14/index.m3u8
CCTV-15(高清),http://183.196.25.171:808/hls/15/index.m3u8
CCTV-16(测试),http://183.196.25.171:808/hls/666/index.m3u8
CCTV-17(高清),http://183.196.25.171:808/hls/93/index.m3u8
保定新闻综合(高清),http://183.196.25.171:808/hls/73/index.m3u8
河北卫视(高清),http://183.196.25.171:808/hls/16/index.m3u8
河北经济(高清),http://183.196.25.171:808/hls/17/index.m3u8
河北都市(高清),http://183.196.25.171:808/hls/18/index.m3u8
河北影视(高清),http://183.196.25.171:808/hls/19/index.m3u8
河北少儿科教(高清),http://183.196.25.171:808/hls/20/index.m3u8
河北公共(高清),http://183.196.25.171:808/hls/21/index.m3u8
河北农民(高清),http://183.196.25.171:808/hls/22/index.m3u8
石家庄新闻综合(高清),http://183.196.25.171:808/hls/23/index.m3u8
石家庄娱乐,http://183.196.25.171:808/hls/24/index.m3u8
石家庄生活,http://183.196.25.171:808/hls/25/index.m3u8
石家庄都市,http://183.196.25.171:808/hls/26/index.m3u8
湖南卫视(高清),http://183.196.25.171:808/hls/27/index.m3u8
浙江卫视(高清),http://183.196.25.171:808/hls/28/index.m3u8
江苏卫视(高清),http://183.196.25.171:808/hls/29/index.m3u8
安徽卫视(高清),http://183.196.25.171:808/hls/30/index.m3u8
北京卫视(高清),http://183.196.25.171:808/hls/31/index.m3u8
北京纪实(高清),http://183.196.25.171:808/hls/86/index.m3u8
天津卫视(高清),http://183.196.25.171:808/hls/32/index.m3u8
辽宁卫视(高清),http://183.196.25.171:808/hls/33/index.m3u8
山东卫视(高清),http://183.196.25.171:808/hls/34/index.m3u8
山东教育,http://183.196.25.171:808/hls/60/index.m3u8
云南卫视,http://183.196.25.171:808/hls/35/index.m3u8
河南卫视(高清),http://183.196.25.171:808/hls/36/index.m3u8
四川卫视,http://183.196.25.171:808/hls/37/index.m3u8
江西卫视(高清),http://183.196.25.171:808/hls/38/index.m3u8
贵州卫视(高清),http://183.196.25.171:808/hls/39/index.m3u8
深圳卫视(高清),http://183.196.25.171:808/hls/40/index.m3u8
湖北卫视(高清),http://183.196.25.171:808/hls/41/index.m3u8
东方卫视(高清),http://183.196.25.171:808/hls/42/index.m3u8
重庆卫视(高清),http://183.196.25.171:808/hls/43/index.m3u8
东南卫视(高清),http://183.196.25.171:808/hls/44/index.m3u8
广东卫视(高清),http://183.196.25.171:808/hls/45/index.m3u8
广西卫视(高清),http://183.196.25.171:808/hls/46/index.m3u8
吉林卫视(高清),http://183.196.25.171:808/hls/47/index.m3u8
黑龙江卫视(高清),http://183.196.25.171:808/hls/79/index.m3u8
陕西卫视,http://183.196.25.171:808/hls/48/index.m3u8
山西卫视,http://183.196.25.171:808/hls/49/index.m3u8
内蒙古卫视,http://183.196.25.171:808/hls/50/index.m3u8
安徽频道,#genre#
凤凰资讯蓝光,http://59.44.10.116:9901/tsfile/live/1021_1.m3u8
凤凰中文蓝光,http://59.44.10.116:9901/tsfile/live/1022_1.m3u8
凤凰香港蓝光,http://59.44.10.116:9901/tsfile/live/1023_1.m3u8
凤凰中文蓝光,http://59.44.10.113:9901/tsfile/live/1079_1.m3u8
凤凰资讯蓝光,http://59.44.10.113:9901/tsfile/live/1078_1.m3u8
凤凰香港蓝光,http://59.44.10.113:9901/tsfile/live/1080_1.m3u8
安徽卫视HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225737/index.m3u8
安徽经济生活,http://live1.ahwanyun.cn/wylive/427c4278-8044-4305-a83c-d8102148e3cc.m3u8
安徽经济生活,http://sheenic.ueuo.com/ahhdtv.php?id=12
安徽综艺体育,http://live1.ahwanyun.cn/wylive/ccbf08e9-40a1-43ac-b0ab-89b32d90c9f8.m3u8
安徽综艺体育,http://sheenic.ueuo.com/ahhdtv.php?id=17
安徽影视,http://live1.ahwanyun.cn/wylive/9f8f237e-586a-4e53-ae57-8abc222ff0f1.m3u8
安徽影视,http://sheenic.ueuo.com/ahhdtv.php?id=13
安徽农业科技,http://sheenic.ueuo.com/ahhdtv.php?id=14
